,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
LN Baseline,0.0002325414679944,0.021681910380721,0.0205077119171619,0.9999444484710692,0.9948333501815796,0.9953999519348145
LN W8A8-gelu-hsigmoid-ln,0.1229219809174537,0.1501357853412628,0.1426416933536529,0.9630184769630432,0.9543333053588868,0.9566999673843384
LN W8A8-gelu-sigmoid-ln,0.124365210533142,0.1508465111255645,0.1441373080015182,0.9629999995231628,0.953666627407074,0.9577999711036682
LN W8A8-gelu-sigmoid-qln,11.733482360839844,11.656004905700684,11.7723388671875,0.2430185079574585,0.2483333349227905,0.2404999881982803
LN W8A8-qgelu-hsigmoid-qln,11.1040620803833,11.03248119354248,11.15854549407959,0.248611107468605,0.2504999935626983,0.243599995970726
LN W8A8-qgelu-sigmoid-ln,0.1335315555334091,0.1609733998775482,0.1550480425357818,0.9595555067062378,0.9516666531562804,0.9519000053405762
LN* Baseline,0.0001492869923822,0.0200413390994071,0.0180866383016109,0.9999629259109496,0.9961666464805604,0.9953999519348145
LN* W8A8-gelu-hsigmoid-ln,0.086073912680149,0.1120780110359191,0.1002921983599662,0.97259259223938,0.9663333296775818,0.9673999547958374
LN* W8A8-gelu-sigmoid-ln,0.0858433321118354,0.112465389072895,0.1002241969108581,0.9727036952972412,0.9663333296775818,0.9678999781608582
LN* W8A8-gelu-sigmoid-qln,0.0856436192989349,0.1119072437286377,0.1000384837388992,0.9727962613105774,0.9671666622161864,0.9674999713897704
LN* W8A8-qgelu-hsigmoid-qln,0.0974382758140564,0.1258537918329239,0.1151009276509285,0.9691851735115052,0.962166666984558,0.9626999497413636
LN* W8A8-qgelu-sigmoid-ln,0.0969490557909011,0.125762790441513,0.1146639883518219,0.9695000052452089,0.9618332982063292,0.9629999995231628
